proyecto,cliente,mes,ingresos,costos
Andes Retail,Almacenes Éxito,2026-01,42000000,28000000
Andes Retail,Almacenes Éxito,2026-02,45500000,29800000
Andes Retail,Almacenes Éxito,2026-03,47200000,30100000
Bodega Norte,Grupo Nutresa,2026-01,31000000,29500000
Bodega Norte,Grupo Nutresa,2026-02,28400000,33900000
Bodega Norte,Grupo Nutresa,2026-03,26800000,35600000
Chía Logística,Corona,2026-01,18700000,12200000
Chía Logística,Corona,2026-02,19900000,12800000
Chía Logística,Corona,2026-03,21400000,13500000
Data Caribe,Bancolombia,2026-01,55300000,38900000
Data Caribe,Bancolombia,2026-02,58100000,40200000
Data Caribe,Bancolombia,2026-03,61700000,41100000
Eje Cafetero,Postobón,2026-01,12500000,9800000
Eje Cafetero,Postobón,2026-02,13100000,10400000
Eje Cafetero,Postobón,2026-03,11900000,10900000
